index,FSA,census under 60,census above 60,census total
585,J5V,8395,5555,13950
586,J5W,37780,9395,47175
587,J5X,12830,2980,15810
588,J5Y,44080,9170,53250
589,J5Z,40230,10070,50300
590,J6A,42260,21295,63555
591,J6E,55325,28305,83630
592,J6J,33155,10190,43345
593,J6K,34005,11050,45055
594,J6N,20610,7805,28415
595,J6R,19380,4290,23670
596,J6S,30595,14250,44845
597,J6T,22840,9695,32535
598,J6V,18725,3515,22240
599,J6W,46075,12780,58855
600,J6X,34530,7595,42125
601,J6Y,30435,4530,34965
602,J6Z,27925,6730,34655
603,J7A,19925,6130,26055
604,J7B,20225,3435,23660
605,J7C,63960,11620,75580
606,J7E,40855,16390,57245
607,J7G,26130,5745,31875
608,J7H,11220,1555,12775
609,J7J,35610,5745,41355
610,J7K,51225,12145,63370
611,J7L,17635,3670,21305
612,J7M,37460,5555,43015
613,J7N,42045,6795,48840
614,J7P,34650,11190,45840
615,J7R,53055,14850,67905
616,J7T,40355,7560,47915
617,J7V,92675,21660,114335
618,J7W,21235,5140,26375
619,J7X,7975,1625,9600
620,J7Y,32530,14740,47270
621,J7Z,38175,17835,56010
622,J8A,13340,3525,16865
623,J8B,16425,8080,24505
624,J8C,13235,6865,20100
625,J8E,12565,5925,18490
626,J8G,10605,4100,14705
627,J8H,17855,8395,26250
628,J8L,26570,7755,34325
629,J8M,20190,3020,23210
630,J8N,18335,3565,21900
631,J8P,48965,13005,61970
632,J8R,46475,5720,52195
633,J8T,52425,22170,74595
634,J8V,40480,7135,47615
635,J8X,14765,3985,18750
636,J8Y,32900,11330,44230
637,J8Z,22315,5420,27735
638,J9A,32975,6040,39015
639,J9B,10085,2380,12465
640,J9E,10155,4435,14590
641,J9H,44920,11330,56250
642,J9J,51155,5835,56990
643,J9L,18635,7710,26345
644,J9P,46880,13630,60510
645,J9T,18375,6470,24845
646,J9V,4400,2160,6560
647,J9X,32450,12340,44790
648,J9Y,15370,2940,18310
649,J9Z,9600,4220,13820
650,K0A,149520,40755,190275
651,K0B,28410,11035,39445
652,K0C,69790,27765,97555
653,K0E,51795,21120,72915
654,K0G,49530,19995,69525
655,K0H,58435,24245,82680
656,K0J,42835,20485,63320
657,K0K,146420,62605,209025
658,K0L,89945,44865,134810
659,K0M,59155,35450,94605
660,K1A,820,335,1155
661,K1B,24715,7020,31735
662,K1C,52585,17770,70355
663,K1E,20805,6915,27720
664,K1G,49355,15320,64675
665,K1H,20885,8940,29825
666,K1J,37075,13280,50355
667,K1K,41120,14205,55325
668,K1L,24625,8155,32780
669,K1M,8585,4245,12830
670,K1N,38995,9765,48760
671,K1P,645,25,670
672,K1R,29930,6240,36170
673,K1S,42360,11750,54110
674,K1T,54770,9110,63880
675,K1V,79995,20535,100530
676,K1W,15745,2365,18110
677,K1X,1180,365,1545
678,K1Y,29510,7585,37095
679,K1Z,31475,7535,39010
680,K2A,22015,9875,31890
681,K2B,44195,16740,60935
682,K2C,40600,12690,53290
683,K2E,26295,9740,36035
684,K2G,72430,18425,90855
685,K2H,34995,15220,50215
686,K2J,107165,15880,123045
687,K2K,34520,10520,45040
688,K2L,27670,7845,35515
